;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;viernes, 28 de marzo de 2025;Compras; $ 393,00 ;S&J Global Trading;
;viernes, 28 de marzo de 2025;Compras; $ 855,00 ;Grubmarket - General;
;viernes, 28 de marzo de 2025;Compras; $ 117,00 ;F&H Dairies;
;viernes, 28 de marzo de 2025;Compras; $ 892,00 ;P&A Produce LLC;
;viernes, 28 de marzo de 2025;Compras; $ 94,00 ;Grubmarket - General;
;viernes, 28 de marzo de 2025;Compras; $ 258,07 ;Preferred Beverage;
;lunes, 10 de marzo de 2025;Compras; $ 772,30 ;Jetro;
;jueves, 27 de marzo de 2025;Compras; $ 280,00 ;Limon;No identifica Preveedor
;jueves, 27 de marzo de 2025;Compras; $ 534,00 ;P&A Produce LLC;
;jueves, 27 de marzo de 2025;Compras; $ 792,00 ;Grubmarket - General;
;jueves, 27 de marzo de 2025;Compras; $ 438,12 ;Del Caribe Meat;
;jueves, 27 de marzo de 2025;Compras; $ 889,20 ;Distribuidora Quisqueya;
;lunes, 24 de marzo de 2025;Compras; $ 35,00 ;INP Food;
;lunes, 24 de marzo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;lunes, 24 de marzo de 2025;Compras; $ 220,00 ;S&J Global Trading;
;lunes, 24 de marzo de 2025;Compras; $ 54,00 ;Grubmarket - General;
;lunes, 24 de marzo de 2025;Compras; $ 502,00 ;P&A Produce LLC;
;lunes, 24 de marzo de 2025;Compras; $ 40,00 ;Grubmarket - General;
;lunes, 24 de marzo de 2025;Compras; $ 1.055,50 ;Grubmarket - General;
;lunes, 24 de marzo de 2025;Compras; $ 319,00 ;P&A Produce LLC;
;lunes, 24 de marzo de 2025;Compras; $ 313,38 ;Tropical Cheese;
;lunes, 24 de marzo de 2025;Compras; $ 398,00 ;Grubmarket - General;
;lunes, 24 de marzo de 2025;Compras; $ 54,00 ;Mega Bag;
;lunes, 24 de marzo de 2025;Compras; $ 28,00 ;Grubmarket - General;
;sábado, 15 de marzo de 2025;Compras; $ 491,92 ;Jetro;
;sábado, 22 de marzo de 2025;Compras; $ 746,00 ;Grubmarket - General;
;sábado, 22 de marzo de 2025;Compras; $ 160,00 ;Grubmarket - General;
;sábado, 22 de marzo de 2025;Compras; $ 418,00 ;P&A Produce LLC;
;viernes, 21 de marzo de 2025;Compras; $ 30,00 ;Fresa;No identifica Preveedor
;viernes, 21 de marzo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;viernes, 21 de marzo de 2025;Compras; $ 303,00 ;Grubmarket - General;
;viernes, 21 de marzo de 2025;Compras; $ 381,00 ;S&J Global Trading;
;lunes, 17 de marzo de 2025;Compras; $ 423,58 ;Jetro;
;jueves, 20 de marzo de 2025;Compras; $ 60,00 ;S&J Global Trading;
;jueves, 20 de marzo de 2025;Compras; $ 276,00 ;F&H Dairies;
;jueves, 20 de marzo de 2025;Compras; $ 825,00 ;Grubmarket - General;
;jueves, 20 de marzo de 2025;Compras; $ 570,00 ;P&A Produce LLC;
;jueves, 20 de marzo de 2025;Compras; $ 335,00 ;AL&C ;
;jueves, 20 de marzo de 2025;Compras; $ 53,00 ;Reach ALL;
;jueves, 20 de marzo de 2025;Compras; $ 864,00 ;Grubmarket - General;
;jueves, 20 de marzo de 2025;Compras; $ 102,00 ;Grubmarket - General;
;jueves, 20 de marzo de 2025;Compras; $ 1.067,00 ;P&A Produce LLC;
;jueves, 20 de marzo de 2025;Compras; $ 277,74 ;Tropical Cheese;
;jueves, 20 de marzo de 2025;Compras; $ 186,50 ;Distribuidora Quisqueya;
;lunes, 17 de marzo de 2025;Compras; $ 423,58 ;Wholesale Co;
;jueves, 20 de marzo de 2025;Compras; $ 384,84 ;Jetro;
;jueves, 20 de marzo de 2025;Compras; $ 588,97 ;Jetro     fact  añadida despues;
;lunes, 17 de marzo de 2025;Compras; $ 100,00 ;La Tortillera;
;lunes, 17 de marzo de 2025;Compras; $ 409,00 ;Grubmarket - General;
;lunes, 17 de marzo de 2025;Compras; $ 206,00 ;P&A Produce LLC;
;lunes, 17 de marzo de 2025;Compras; $ 586,35 ;JP Trading And Global;
;sábado, 22 de marzo de 2025;Compras; $ 23,20 ;Jetro;
;sábado, 15 de marzo de 2025;Compras; $ 174,00 ;Grubmarket - General;
;sábado, 15 de marzo de 2025;Compras; $ 110,00 ;S&J Global Trading;
