"UPC","Item","Department","Quantity on Hand","Total Cost"
"039000086639","Libby's: Vienna Sausage","General Food","18",""
"039000086691","Libbys Chicken Vienna Sausage In Chicken Broth","General Food","16",""
"039222000024","Mutilitsky Grade a Extra  Large Eggs","Deli","-51",""
"040100007295","instant Dry YeastFleischmann'a","General Food","0",""
"040811070502","Molina:Vanillin Extract, Vanilla","General Food","12",""
"041000002878","Lipton Beverage 100% Natural","General Food","3",""
"041000003011","Lipton Soups:Extra Noodle w/Real Chicken Broth 2 Ct","General Food","8",""
"041000003240","Lipton Soups Noodle w/Real Chicken","General Food","-7",""
"041000003325","Lipton Soups:Chicken Noodle w/Diced White Chicken Meat 2 Ct","General Food","6",""
"041000006739","Lipton","General Food","8",""
"041000022463","Knorr Pasta Sides:Chicken","General Food","4",""
"041000366406","Salsa lizano","General Food","8",""
"041143024508","Sun-Maid:Natural California","General Food","21",""
"041143120101","Sun-Maid Natural California Raisins","General Food","-8",""
"041143299081","Prunes California Pitted Dried Plum","General Food","7",""
"041167008836","icyHot","Vitamins/Medicine","2",""
"041192100192","Frosted flakes","General Food","1",""
"041192100239","Apple jacks","General Food","0",""
"041192102431","Raisin bran cereal","General Food","1",""
"041294973267","Pinesol Original Multi-Surface Cleaner","Household","0",""
"041321005701","Wishbone Ranch Dressing","General Food","2",""
"041321006029","Wish-Bone Chunky Blue Cheese Dressing","General Food","-2",""
"041321006265","Italian dressing","General Food","7",""
"041321006289","Wish-bone Robusto Italian Dressing","General Food","2",""
"041321006487","Wish Bone House Italian Salad Dressing","General Food","0",""
"041321006555","Wish Bone Deluxe French Dressing","General Food","5",""
"041321009785","Wishbone Balsamic Vinaigrette Dressing","General Food","0",""
"041331011037","Goya Olive Oil - Spanish - Extra Virgin","General Food","14","$46.06"
"041331011051","Goya Extra Virgin Olive Oil","General Food","16",""
"041331011082","Goya Extra Virgin Olive Oil","General Food","5",""
"041331012294","Goya Corn Oil","General Food","17",""
"041331012317","Goya Corn Oil","General Food","8",""
"041331012379","Goya Pure Vegetable Oil","General Food","7",""
"041331012393","Goya Vegetable Oil Soybean Oil","General Food","3",""
"041331012508","Goya Canola Oil","Household","2",""
"041331013192","Goya Cocktail Olives, Spanish Olives, Pitted Manzanilla","General Food","0",""
"041331013758","Goya:Capers, Spanish","General Food","16",""
"041331014175","Goya:Manzanilla Olives, Pimientos & Capers, Pitted","General Food","6",""
"041331014311","Goya:Manzanilla Olives, Pimientos & Capers","General Food","11",""
"041331014656","Goya Alcaparrado, Manzanilla Olives, Pimientos & Capers","General Food","11",""
"041331014670","Goya Manzanilla Olives","General Food","20","$59.80"
"041331014694","Goya Manzanilla Spanish Olives","General Food","24",""
"041331014779","Goya Salad Olives, Pitted Manzanilla, Olives & Pimientos","General Food","24",""
"041331020039","Goya Green Pigeon Peas","General Food","0",""
"041331020053","Goya: Green Pigeon Peas w/ Coconut","General Food","28","$89.32"
"041331020091","Organic pigeon peas","General Food","16",""
"041331020527","Goya Small Red Beans in Sauce","General Food","9",""
"041331020558","Goya Pink Beans in Sauce","General Food","8","$17.52"
"041331020626","Goya Pinto Beans in Sauce","General Food","7",""
"041331020671","Goya Black Bean Soup","General Food","25",""
"041331021463","Goya Sofrito","General Food","20",""
"041331021524","Goya Recaito Cilantro Cooking Base","General Food","21",""
"041331021630","COCO GOYA","General Food","12",""
"041331021647","Goya Coconut Milk","General Food","12",""
"041331021685","Goya:Coconut Milk","General Food","4",""
"041331022736","Goya golden corn","General Food","15",""
